"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","0.04","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2013-04","ISO_DATE"
"National Centers for Environmental Information","3.44","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2000-11","ISO_DATE"
"National Centers for Environmental Information","4.91","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2005-01","ISO_DATE"
"National Centers for Environmental Information","0.3","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2005-04","ISO_DATE"
"National Centers for Environmental Information","1.48","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2004-12","ISO_DATE"
"National Centers for Environmental Information","2.26","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1981-11","ISO_DATE"
"National Centers for Environmental Information","1.27","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1998-04","ISO_DATE"
"National Centers for Environmental Information","5.15","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1978-11","ISO_DATE"
"National Centers for Environmental Information","0.64","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1961-12","ISO_DATE"
"National Centers for Environmental Information","6.44","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1990-11","ISO_DATE"
"National Centers for Environmental Information","0.94","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2017-11","ISO_DATE"
"National Centers for Environmental Information","3.77","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1987-04","ISO_DATE"
"National Centers for Environmental Information","0.31","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-04","ISO_DATE"
"National Centers for Environmental Information","0.73","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2015-12","ISO_DATE"
"National Centers for Environmental Information","0.33","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2012-04","ISO_DATE"
"National Centers for Environmental Information","0.23","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2012-11","ISO_DATE"
"National Centers for Environmental Information","0.37","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1974-12","ISO_DATE"
"National Centers for Environmental Information","2.94","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1991-01","ISO_DATE"
"National Centers for Environmental Information","13.66","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1971-01","ISO_DATE"
"National Centers for Environmental Information","0.39","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1972-11","ISO_DATE"
"National Centers for Environmental Information","2.17","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1972-12","ISO_DATE"
"National Centers for Environmental Information","0.85","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1956-11","ISO_DATE"
"National Centers for Environmental Information","3.04","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2006-11","ISO_DATE"
"National Centers for Environmental Information","1.11","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1964-01","ISO_DATE"
"National Centers for Environmental Information","2.79","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2020-04","ISO_DATE"
"National Centers for Environmental Information","2.45","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1984-01","ISO_DATE"
"National Centers for Environmental Information","2.63","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1982-10","ISO_DATE"
"National Centers for Environmental Information","1.48","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1981-10","ISO_DATE"
"National Centers for Environmental Information","0.54","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1980-10","ISO_DATE"
"National Centers for Environmental Information","0.18","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1998-07","ISO_DATE"
"National Centers for Environmental Information","0.4","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1978-07","ISO_DATE"
"National Centers for Environmental Information","0.3","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2009-10","ISO_DATE"
"National Centers for Environmental Information","3.3","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1975-01","ISO_DATE"
"National Centers for Environmental Information","0.1","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1975-04","ISO_DATE"
"National Centers for Environmental Information","8.64","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1959-01","ISO_DATE"
"National Centers for Environmental Information","0.6","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2021-04","ISO_DATE"
"National Centers for Environmental Information","0.25","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1987-10","ISO_DATE"
"National Centers for Environmental Information","0.15","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-07","ISO_DATE"
"National Centers for Environmental Information","0.06","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1955-06","ISO_DATE"
"National Centers for Environmental Information","0.48","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1970-10","ISO_DATE"
"National Centers for Environmental Information","0.01","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2018-06","ISO_DATE"
"National Centers for Environmental Information","0.25","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1986-07","ISO_DATE"
"National Centers for Environmental Information","0.96","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1986-10","ISO_DATE"
"National Centers for Environmental Information","4.71","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1989-10","ISO_DATE"
"National Centers for Environmental Information","0.38","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2012-06","ISO_DATE"
"National Centers for Environmental Information","0.35","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2016-06","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2013-10","ISO_DATE"
"National Centers for Environmental Information","0.09","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2000-06","ISO_DATE"
"National Centers for Environmental Information","0.7","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1959-10","ISO_DATE"
"National Centers for Environmental Information","1.57","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1974-10","ISO_DATE"
