"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","78.89000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2013-10","ISO_DATE"
"National Centers for Environmental Information","76.82000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2013-11","ISO_DATE"
"National Centers for Environmental Information","79.34000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1982-10","ISO_DATE"
"National Centers for Environmental Information","78.34000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1999-10","ISO_DATE"
"National Centers for Environmental Information","78.68000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1950-09","ISO_DATE"
"National Centers for Environmental Information","81.30000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1992-09","ISO_DATE"
"National Centers for Environmental Information","81.03000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1998-09","ISO_DATE"
"National Centers for Environmental Information","74.67000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1958-11","ISO_DATE"
"National Centers for Environmental Information","77.35000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1942-11","ISO_DATE"
"National Centers for Environmental Information","79.13000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1957-10","ISO_DATE"
"National Centers for Environmental Information","77.02000000000","STRING","Honolulu","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1965-11","ISO_DATE"
